name,description,image
A Village in the Third Reich,Julia Boyd / How Ordinary Lives Were Transformed By the Rise of Fascism / 2023 / Elliott & Thompson,img/books/b-reich.jpg
Alpine Panoramics 1,Lee A Johnson / 2023,img/books/b-pano.jpg
Bunker Research,Max Leonard / Camille McMillan / Second edition / 2019 / Isola Press,img/books/b-bunk.jpg
Curves,Stefan Bogner / Hardcover / Schweiz / 2016 / Delius Klasing Vlg GmbH,img/books/b-curv.jpg
Escapes,Stefan Bogner / Traumrouten der Alpen Hardcover / 2012 / Delius Klasing Vlg GmbH,img/books/b-esca.jpg
Grisons,Montamont / Guide / 2023 / Montamont ATC,img/books/b-gris.jpg
Higher Calling,Max Leonard  / Cycling's Obsession with Mountains / Pegasus books / 2018,img/books/b-high.jpg
History of the Maginot Line,Marc Halter / Brian B. Chin/ 2011 / Histoire et Collections,img/books/b-mag.jpg
Kiss or Kill,Mark Twight / Confessions of a Serial Climber / 2003 / The Mountaineers Books,img/books/b-kiss.jpg
Linde Werdelin Ski Guide,Jorn Werdelin / Morten Linde / Box Set / 2009 / Beautiful Books,img/books/b-lind.jpg
Lumen Museum,Lumen Catalogue book / 2022 / Velatum,img/books/b-lum.jpg
Mapping the Limits of Space,Dan Holdsworth / 2018 / Hatje Cantz,img/books/b-mapp.jpg
Michelin French Alps,Michelin Green Guide / 2018 / Michelin Maps,img/books/b-mfre.jpg
Michelin Switzerland,Michelin Green Guide / 2018 / Michelin Maps,img/books/b-mswi.jpg
Mountain Rescue Chamonix,Anne Sauvy / A Season with the World's Busiest Mountain Rescue Service / 2005 /Baton Wicks Publications,img/books/b-moun.jpg
Mountains Epic Cycling Climbs,Michael Bann / Epic Cycling Climbs / 2016 / Thames and Hudson Ltd,img/books/b-epi.jpg
Porsche Drive,Stefan Bogner / Hardcover / 15 Passes in 4 Days / 2015 / Delius Klasing Vlg GmbH,img/books/b-pdr.jpg
Slow Train to Switzerland,Diccon Bewes / One Tour,img/books/b-slow.jpg
Solo Faces,James Salter / 2008 / Penguin Classics,img/books/b-solo.jpg
South Tyrol,Montamont / Guide / 2023 / Montamont ATC,img/books/b-tyrol.jpg
Swiss Watching,Diccon Bewes / Inside the Land of Milk and Money / 2018 / Nicholas Brealey Publishing,img/books/b-watc.jpg
Switzerland,Joelle Kuntz / How an Alpine Pass Became a Country / 2008 / Historiator Editions,img/books/b-swit.jpg
The Alps,Stephen O'Shea / A Human History from Hannibal to Heidi and Beyond / 2018 / W. W. Norton & Company,img/books/b-thealps.jpg
The Race That Changed Running,Doug Mayer / The Inside Story of the Ultra Trail Du Mont Blanc / 2023 / Helvetiq,img/books/b-utmb.jpg
Vallée de Joux,Dan Holdsworth / 2018 / Hatje Cantz,img/books/b-vdj.jpg
Vintage Alpine Postcards,Max Leonard / Isola Press / 2022,img/books/b-vint.jpg
