name,description,image
Albula Pass,"The quietest of the three passes into the Engadin valley - the Albula is known for its UNESCO World Heritage landscape.<br><br>Altitude: 2315m / Distance: 23km</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/albu.jpg
Bernina Pass,"The Bernina Pass is one of the few places in Switzerland with a motorsport event</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/bern.jpg
Col de Champex,"A short pass with a spectacular lake and village summit</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdc.jpg
Col de la Croix,"A mule track that took over 100 years to become a pass road</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdlc.jpg
Col de la Forclaz,"The tourist trail from England to Switzerland helped develop this varied mountain pass</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdlf.jpg
Col de l'Iseran,Col de l'Iseran at 2764 metres in altitude at its summit is a mountain pass in France and the highest paved pass in the Alps. Located in the department of the Savoie the road is part of the Route des Grandes Alpes.,img/passes/iseran.jpg
Col des Mosses,"From vineyards to gorges - Col des Mosses is an everyday road</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdm.jpg
Col du Grand St. Bernard,"The Col du Grand St. Bernard is one of the most famous trans-alpine routes</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdgsb.jpg
Col du Marchairuz,"Lacking in hairpins and height it delivers the goods with swooping bends and majestic landscapes</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdma.jpg
Col du Pillon,"Col du Pillon makes up for its lack of excitement with a dramatic cable car ride from the summit</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/cdp.jpg
Flüela Pass,"The Flüela Pass was originally a trading route for one of Switzerland's prized assets - salt</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/flue.jpg
Furka Pass,"The most famous of the Swiss Passes thanks to its role in the James Bond film Goldfinger</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/furk.jpg
